Biome,potveg,D50,D95,D99,Dmax,D95_SJ
TropEver,1,0.201,1.77,3,6.45,0.91
TropDecid,2,0.194,1.19,2,3.7,0.95
TempEver,3,0.175,1.07,1.8,3.8842,1.21
TempDecid,4,0.194,1.19,2,2.9095,1.04
Boreal,5,0.12,0.58,1.193,1.9875,0.58
MixedFor,6,0.248,1.43,2.4,3.3969,0.8833
Savanna,7,0.172,1.416,2.4,14.96,1.3633
GrassSteppe,8,0.122,0.89,1.5,2.4651,1.055
DenseShrub,9,0.205,1.47,2.5,5.4038,1.71
OpenShrub,10,0.197,1.83,3.1,3.7111,1.31
Tundra,11,0.078,0.335,0.5,0.4875,0.29
Desert,12,NA,NA,NA,8.637,1.12
Permafrost,13,0.1,0.2,0.3,0.5,0.29
